Date,Open,High,Low,Close,Volume,Adjustment Factor,Adjustment Type
2018-12-31,38.252326,38.450187,37.764912,38.061704,36521072.0,,
2018-12-28,37.998967,38.2475,37.291976,37.69735,36163028.0,,
2018-12-27,37.67322,37.813171,36.210979,37.678046,58483584.0,,
2018-12-26,35.75976,37.938644,35.407471,37.924166,62186152.0,,
2018-12-25,35.429187,35.429187,35.429187,35.429187,0.0,,
2018-12-24,35.747695,36.563268,35.371276,35.429187,41095792.0,,
2018-12-21,37.605658,38.160634,36.10481,36.370233,170784508.0,,
2018-12-20,38.652874,39.113745,37.472947,37.842126,63579352.0,,
2018-12-19,40.054792,40.402255,38.399515,38.82178,57545032.0,,
2018-12-18,39.931732,40.423971,39.668721,40.071682,36660592.0,,
2018-12-17,39.914841,40.619419,39.26576,39.557726,51598472.0,,
2018-12-14,40.778673,40.797977,39.883473,39.929319,46297488.0,,
2018-12-13,41.126137,41.63768,40.918624,41.249196,28483908.0,,
2018-12-12,41.116485,41.480839,40.783499,40.802803,33685492.0,,
2018-12-11,41.427754,41.447057,40.296085,40.689395,41408632.0,,
2018-12-10,39.813498,41.041684,39.507054,40.92345,60513688.0,,
2018-12-07,41.852431,42.103377,40.61218,40.655613,51870180.0,,
2018-12-06,41.439819,42.170939,41.123724,42.158875,48781912.0,,
2018-12-05,42.634224,42.634224,42.634224,42.634224,0.0,,
2018-12-04,43.6742,44.007186,42.53288,42.634224,47728320.0,,
2018-12-03,44.506664,44.624898,43.727285,44.595943,44722648.0,,
2018-11-30,43.512533,43.512533,42.716263,43.090269,48621432.0,,
2018-11-29,44.091639,44.108529,42.87793,43.324324,36929384.0,,
2018-11-28,42.646288,43.734524,42.209546,43.659723,47555876.0,,
2018-11-27,41.377082,42.166113,41.237132,42.043053,37953572.0,,
2018-11-26,42.028576,42.214372,41.085117,42.134745,43371204.0,,
2018-11-23,42.216785,42.605268,41.536336,41.57253,22728944.0,,
2018-11-22,42.65594,42.65594,42.65594,42.65594,0.0,,
2018-11-21,43.326737,43.498056,42.600442,42.65594,32545068.0,,
2018-11-20,42.962383,43.787609,42.354323,42.704199,68823200.0,,
2018-11-19,45.845846,46.014751,44.636963,44.846889,44191844.0,,
2018-11-16,45.973731,47.037838,45.71796,46.697613,43268308.0,,
2018-11-15,45.474253,46.318782,45.097835,46.18607,51295940.0,,
2018-11-14,46.767588,46.926842,44.863779,45.073705,55479224.0,,
2018-11-13,46.260871,47.578336,46.200548,46.383931,42091164.0,,
2018-11-12,48.019904,48.222591,46.76035,46.852041,55188744.0,,
